product_key,product_name,category,subcategory,cost,last_sale_date,recency,product_segment,total_orders,total_sales,total_quantity,total_customers,avg_selling_price,average_order_revenue,average_monthly_revenue
37,Road-650 Black- 48,Bikes,Road Bikes,487,2012-12-25,147,Mid Performer,60,45552,60,60,759.20000000000005,759.20000000000005,2169.1399999999999
38,Road-650 Black- 52,Bikes,Road Bikes,487,2012-12-19,147,High Performer,89,66915,89,89,751.89999999999998,751.85000000000002,2909.3499999999999
39,Road-650 Black- 58,Bikes,Road Bikes,487,2012-12-18,147,High Performer,76,57996,76,76,763.10000000000002,763.11000000000001,2521.5700000000002
40,Road-650 Black- 60,Bikes,Road Bikes,487,2012-12-12,147,High Performer,76,57156,76,76,752.10000000000002,752.04999999999995,2598
41,Road-650 Black- 62,Bikes,Road Bikes,487,2012-12-18,147,Mid Performer,65,49047,65,65,754.60000000000002,754.57000000000005,2043.6300000000001
42,Road-650 Red- 44,Bikes,Road Bikes,487,2012-12-25,147,High Performer,72,54528,72,72,757.29999999999995,757.33000000000004,2370.7800000000002
43,Road-650 Red- 48,Bikes,Road Bikes,487,2012-12-27,147,High Performer,88,66720,88,88,758.20000000000005,758.17999999999995,2900.8699999999999
44,Road-650 Red- 52,Bikes,Road Bikes,487,2012-12-21,147,Mid Performer,61,46083,61,61,755.5,755.46000000000004,1920.1300000000001
45,Road-650 Red- 58,Bikes,Road Bikes,487,2012-12-18,147,High Performer,74,56346,74,74,761.39999999999998,761.42999999999995,2561.1799999999998
46,Road-650 Red- 60,Bikes,Road Bikes,487,2012-12-23,147,Mid Performer,53,40071,53,53,756.10000000000002,756.05999999999995,1742.22
47,Road-650 Red- 62,Bikes,Road Bikes,487,2012-12-05,147,High Performer,75,57381,75,75,765.10000000000002,765.08000000000004,2494.8299999999999
48,Road-250 Red- 44,Bikes,Road Bikes,1519,2012-12-25,147,High Performer,144,351792,144,144,2443,2443,29316
49,Road-250 Red- 48,Bikes,Road Bikes,1519,2012-12-24,147,High Performer,162,395766,162,162,2443,2443,32980.5
50,Road-250 Red- 52,Bikes,Road Bikes,1519,2012-12-25,147,High Performer,133,324919,133,133,2443,2443,27076.580000000002
104,Mountain Bottle Cage,Accessories,Bottles and Cages,4,2014-01-28,134,Mid Performer,2025,20340,2034,2004,10,10.039999999999999,1564.6199999999999
105,Road Bottle Cage,Accessories,Bottles and Cages,3,2014-01-25,134,Mid Performer,1712,15408,1712,1700,9,9,1185.23
106,Mountain-500 Black- 40,Bikes,Mountain Bikes,295,2013-12-13,135,Mid Performer,48,25920,48,48,540,540,2160
107,Mountain-500 Black- 42,Bikes,Mountain Bikes,295,2013-12-25,135,Mid Performer,49,26460,49,49,540,540,2405.4499999999998
108,Mountain-500 Black- 44,Bikes,Mountain Bikes,295,2013-12-25,135,Mid Performer,58,31320,58,58,540,540,2847.27
109,Mountain-500 Black- 48,Bikes,Mountain Bikes,295,2013-12-26,135,Mid Performer,56,30240,56,56,540,540,2749.0900000000001
110,Mountain-500 Black- 52,Bikes,Mountain Bikes,295,2013-12-24,135,Mid Performer,41,22140,41,41,540,540,2012.73
111,Mountain-500 Silver- 40,Bikes,Mountain Bikes,308,2013-12-26,135,Mid Performer,45,25425,45,45,565,565,2311.3600000000001
112,Mountain-500 Silver- 42,Bikes,Mountain Bikes,308,2013-12-27,135,Mid Performer,45,25425,45,45,565,565,2311.3600000000001
113,Mountain-500 Silver- 44,Bikes,Mountain Bikes,308,2013-12-25,135,Mid Performer,39,22035,39,39,565,565,1836.25
114,Mountain-500 Silver- 48,Bikes,Mountain Bikes,308,2013-12-27,135,Mid Performer,50,28250,50,50,565,565,2568.1799999999998
115,Mountain-500 Silver- 52,Bikes,Mountain Bikes,308,2013-12-25,135,Mid Performer,48,27120,48,48,565,565,2465.4499999999998
116,Mountain-400-W Silver- 38,Bikes,Mountain Bikes,420,2013-12-27,135,High Performer,148,113812,148,148,769,769,10346.549999999999
117,Mountain-400-W Silver- 40,Bikes,Mountain Bikes,420,2013-12-24,135,High Performer,128,98432,128,128,769,769,8202.6700000000001
118,Mountain-400-W Silver- 42,Bikes,Mountain Bikes,420,2013-12-27,135,High Performer,129,99201,129,129,769,769,9018.2700000000004
119,Mountain-400-W Silver- 46,Bikes,Mountain Bikes,420,2013-12-24,135,High Performer,138,106122,138,138,769,769,9647.4500000000007
120,Mountain-200 Black- 38,Bikes,Mountain Bikes,1252,2013-12-28,135,High Performer,582,1294854,582,565,2224.8000000000002,2224.8400000000001,53952.25
121,Mountain-200 Black- 42,Bikes,Mountain Bikes,1252,2013-12-28,135,High Performer,614,1363128,614,604,2220.0999999999999,2220.0799999999999,59266.43
122,Mountain-200 Black- 46,Bikes,Mountain Bikes,1252,2013-12-27,135,High Performer,620,1373454,620,600,2215.1999999999998,2215.25,57227.25
123,Mountain-200 Silver- 38,Bikes,Mountain Bikes,1266,2013-12-28,135,High Performer,596,1339394,596,583,2247.3000000000002,2247.3099999999999,58234.519999999997
124,Mountain-200 Silver- 42,Bikes,Mountain Bikes,1266,2013-12-28,135,High Performer,560,1257368,560,547,2245.3000000000002,2245.3000000000002,52390.330000000002
125,Mountain-200 Silver- 46,Bikes,Mountain Bikes,1266,2013-12-28,135,High Performer,580,1301029,580,567,2243.1999999999998,2243.1500000000001,56566.480000000003
126,Road-750 Black- 44,Bikes,Road Bikes,344,2013-12-28,135,High Performer,360,194400,360,360,540,540,16200
127,Road-750 Black- 48,Bikes,Road Bikes,344,2013-12-28,135,High Performer,363,196020,363,363,540,540,16335
128,Road-750 Black- 52,Bikes,Road Bikes,344,2013-12-28,135,High Performer,386,208440,386,386,540,540,17370
129,Road-750 Black- 58,Bikes,Road Bikes,344,2013-12-28,135,High Performer,334,180360,334,334,540,540,15030
130,Road-550-W Yellow- 38,Bikes,Road Bikes,713,2013-12-26,135,High Performer,270,293760,270,267,1088,1088,12240
131,Road-550-W Yellow- 40,Bikes,Road Bikes,713,2013-12-28,135,High Performer,266,289880,266,264,1089.8,1089.77,12603.48
132,Road-550-W Yellow- 42,Bikes,Road Bikes,713,2013-12-26,135,High Performer,306,334440,306,303,1092.9000000000001,1092.9400000000001,13935
133,Road-550-W Yellow- 44,Bikes,Road Bikes,713,2013-12-27,135,High Performer,287,312200,287,286,1087.8,1087.8,13573.91
134,Road-550-W Yellow- 48,Bikes,Road Bikes,713,2013-12-27,135,High Performer,261,283680,261,258,1086.9000000000001,1086.9000000000001,12894.549999999999
135,Road-350-W Yellow- 40,Bikes,Road Bikes,1083,2013-12-27,135,High Performer,246,418446,246,246,1701,1701,34870.5
136,Road-350-W Yellow- 42,Bikes,Road Bikes,1083,2013-12-27,135,High Performer,235,399735,235,235,1701,1701,33311.25
137,Road-350-W Yellow- 44,Bikes,Road Bikes,1083,2013-12-27,135,High Performer,216,367416,216,216,1701,1701,33401.449999999997
138,Road-350-W Yellow- 48,Bikes,Road Bikes,1083,2013-12-25,135,High Performer,232,394632,232,232,1701,1701,32886
139,Road-250 Black- 44,Bikes,Road Bikes,1555,2013-12-27,135,High Performer,271,628384,271,266,2318.8000000000002,2318.7600000000002,26182.669999999998
140,Road-250 Black- 48,Bikes,Road Bikes,1555,2013-12-28,135,High Performer,298,691213,298,289,2319.5,2319.5100000000002,30052.740000000002
141,Road-250 Black- 52,Bikes,Road Bikes,1555,2013-12-25,135,High Performer,319,734425,319,312,2302.3000000000002,2302.27,30601.040000000001
142,Road-250 Black- 58,Bikes,Road Bikes,1555,2013-12-26,135,High Performer,270,622026,270,265,2303.8000000000002,2303.8000000000002,25917.75
143,Road-250 Red- 58,Bikes,Road Bikes,1555,2013-12-27,135,High Performer,306,702666,306,301,2296.3000000000002,2296.29,29277.75
144,Touring-3000 Blue- 44,Bikes,Touring Bikes,461,2013-12-28,135,Mid Performer,53,39326,53,53,742,742,3575.0900000000001
145,Touring-3000 Blue- 50,Bikes,Touring Bikes,461,2013-12-23,135,Mid Performer,48,35616,48,48,742,742,3237.8200000000002
146,Touring-3000 Blue- 54,Bikes,Touring Bikes,461,2013-12-17,135,Mid Performer,55,40810,55,55,742,742,3400.8299999999999
147,Touring-3000 Blue- 58,Bikes,Touring Bikes,461,2013-12-27,135,Mid Performer,57,42294,57,57,742,742,3844.9099999999999
148,Touring-3000 Blue- 62,Bikes,Touring Bikes,461,2013-12-23,135,Mid Performer,64,47488,64,64,742,742,4317.0900000000001
149,Touring-3000 Yellow- 44,Bikes,Touring Bikes,461,2013-12-28,135,Mid Performer,59,43778,59,59,742,742,3979.8200000000002
150,Touring-3000 Yellow- 50,Bikes,Touring Bikes,461,2013-12-27,135,Mid Performer,59,43778,59,59,742,742,3979.8200000000002
151,Touring-3000 Yellow- 54,Bikes,Touring Bikes,461,2013-12-09,135,Mid Performer,48,35616,48,48,742,742,3237.8200000000002
152,Touring-3000 Yellow- 58,Bikes,Touring Bikes,461,2013-12-27,135,Mid Performer,47,34874,47,47,742,742,2906.1700000000001
153,Touring-3000 Yellow- 62,Bikes,Touring Bikes,461,2013-12-26,135,Mid Performer,50,37100,50,50,742,742,3372.73
154,Touring-2000 Blue- 46,Bikes,Touring Bikes,755,2013-12-27,135,High Performer,97,117855,97,97,1215,1215,9821.25
155,Touring-2000 Blue- 50,Bikes,Touring Bikes,755,2013-12-27,135,High Performer,106,128790,106,106,1215,1215,10732.5
156,Touring-2000 Blue- 54,Bikes,Touring Bikes,755,2013-12-28,135,High Performer,88,106920,88,88,1215,1215,9720
157,Touring-2000 Blue- 60,Bikes,Touring Bikes,755,2013-12-28,135,High Performer,81,98415,81,81,1215,1215,8201.25
158,Touring-1000 Blue- 46,Bikes,Touring Bikes,1482,2013-12-23,135,High Performer,177,421968,177,177,2384,2384,35164
159,Touring-1000 Blue- 50,Bikes,Touring Bikes,1482,2013-12-28,135,High Performer,150,357600,150,150,2384,2384,29800
160,Touring-1000 Blue- 54,Bikes,Touring Bikes,1482,2013-12-27,135,High Performer,160,381440,160,160,2384,2384,34676.360000000001
161,Touring-1000 Blue- 60,Bikes,Touring Bikes,1482,2013-12-27,135,High Performer,147,350448,147,147,2384,2384,29204
162,Touring-1000 Yellow- 46,Bikes,Touring Bikes,1482,2013-12-28,135,High Performer,172,410048,172,170,2384,2384,37277.089999999997
163,Touring-1000 Yellow- 50,Bikes,Touring Bikes,1482,2013-12-23,135,High Performer,151,359984,151,150,2384,2384,29998.669999999998
164,Touring-1000 Yellow- 54,Bikes,Touring Bikes,1482,2013-12-27,135,High Performer,158,376672,158,158,2384,2384,34242.910000000003
165,Touring-1000 Yellow- 60,Bikes,Touring Bikes,1482,2013-12-23,135,High Performer,140,333760,140,140,2384,2384,30341.82
166,AWC Logo Cap,Clothing,Caps,7,2014-01-28,134,Mid Performer,2190,19710,2190,2132,9,9,1516.1500000000001
168,Bike Wash - Dissolver,Accessories,Cleaners,3,2014-01-28,134,Low Performer,908,7272,909,875,8,8.0099999999999998,606
174,Fender Set - Mountain,Accessories,Fenders,8,2014-01-28,134,Mid Performer,2121,46662,2121,2110,22,22,3589.3800000000001
233,Half-Finger Gloves- L,Clothing,Gloves,9,2014-01-28,134,Mid Performer,443,10632,443,437,24,24,817.85000000000002
234,Half-Finger Gloves- M,Clothing,Gloves,9,2014-01-28,134,Mid Performer,499,11976,499,488,24,24,921.23000000000002
235,Half-Finger Gloves- S,Clothing,Gloves,9,2014-01-25,134,Mid Performer,488,11712,488,479,24,24,900.91999999999996
244,Sport-100 Helmet- Black,Accessories,Helmets,13,2014-01-28,134,High Performer,2085,72975,2085,2024,35,35,5613.46
245,Sport-100 Helmet- Blue,Accessories,Helmets,13,2014-01-28,134,High Performer,2125,74410,2126,2050,35,35.020000000000003,5723.8500000000004
246,Sport-100 Helmet- Red,Accessories,Helmets,13,2014-01-28,134,High Performer,2230,78050,2230,2147,35,35,6003.8500000000004
247,Hydration Pack - 70 oz.,Accessories,Hydration Packs,21,2014-01-28,134,Mid Performer,733,40315,733,719,55,55,3101.1500000000001
248,Long-Sleeve Logo Jersey- L,Clothing,Jerseys,38,2014-01-28,134,Mid Performer,452,22650,453,449,50,50.109999999999999,1742.3099999999999
249,Long-Sleeve Logo Jersey- M,Clothing,Jerseys,38,2014-01-28,134,Mid Performer,442,22100,442,436,50,50,1700
250,Long-Sleeve Logo Jersey- S,Clothing,Jerseys,38,2014-01-28,134,Mid Performer,429,21450,429,426,50,50,1787.5
251,Long-Sleeve Logo Jersey- XL,Clothing,Jerseys,38,2014-01-28,134,Mid Performer,413,20700,414,409,50,50.119999999999997,1725
259,Patch Kit/8 Patches,Accessories,Tires and Tubes,1,2014-01-28,134,Low Performer,3191,6382,3191,2950,2,2,490.92000000000002
260,Hitch Rack - 4-Bike,Accessories,Bike Racks,45,2014-01-28,134,Mid Performer,328,39360,328,325,120,120,3280
272,Women's Mountain Shorts- L,Clothing,Shorts,26,2014-01-28,134,Mid Performer,363,25410,363,363,70,70,2117.5
273,Women's Mountain Shorts- M,Clothing,Shorts,26,2014-01-26,134,Mid Performer,352,24640,352,352,70,70,2053.3299999999999
274,Women's Mountain Shorts- S,Clothing,Shorts,26,2014-01-28,134,Mid Performer,304,21280,304,304,70,70,1773.3299999999999
275,Short-Sleeve Classic Jersey- L,Clothing,Jerseys,42,2014-01-26,134,Mid Performer,374,20196,374,372,54,54,1553.54
276,Short-Sleeve Classic Jersey- M,Clothing,Jerseys,42,2014-01-27,134,Mid Performer,407,21978,407,404,54,54,1690.6199999999999
277,Short-Sleeve Classic Jersey- S,Clothing,Jerseys,42,2014-01-28,134,Mid Performer,406,21924,406,402,54,54,1686.46
278,Short-Sleeve Classic Jersey- XL,Clothing,Jerseys,42,2014-01-28,134,Mid Performer,409,22086,409,405,54,54,1840.5
279,Racing Socks- L,Clothing,Socks,3,2014-01-27,134,Low Performer,270,2430,270,269,9,9,186.91999999999999
280,Racing Socks- M,Clothing,Socks,3,2014-01-28,134,Low Performer,298,2682,298,295,9,9,223.5
281,All-Purpose Bike Stand,Accessories,Bike Stands,59,2014-01-28,134,Mid Performer,249,39591,249,243,159,159,3045.46
282,LL Mountain Tire,Accessories,Tires and Tubes,9,2014-01-28,134,Mid Performer,862,21600,864,830,25,25.059999999999999,1800
283,ML Mountain Tire,Accessories,Tires and Tubes,11,2014-01-28,134,Mid Performer,1161,34830,1161,1161,30,30,2679.23
284,HL Mountain Tire,Accessories,Tires and Tubes,13,2014-01-28,134,Mid Performer,1396,48895,1397,1396,35,35.030000000000001,3761.1500000000001
285,LL Road Tire,Accessories,Tires and Tubes,8,2014-01-28,134,Mid Performer,1044,21924,1044,1030,21,21,1686.46
286,ML Road Tire,Accessories,Tires and Tubes,9,2014-01-28,134,Mid Performer,926,23150,926,891,25,25,1780.77
287,HL Road Tire,Accessories,Tires and Tubes,12,2014-01-28,134,Mid Performer,858,28314,858,820,33,33,2178
288,Touring Tire,Accessories,Tires and Tubes,11,2014-01-25,134,Mid Performer,935,27115,935,920,29,29,2085.77
289,Mountain Tire Tube,Accessories,Tires and Tubes,2,2014-01-28,134,Mid Performer,3095,15480,3096,2960,5,5,1190.77
290,Road Tire Tube,Accessories,Tires and Tubes,1,2014-01-28,134,Low Performer,2376,9504,2376,2226,4,4,731.08000000000004
291,Touring Tire Tube,Accessories,Tires and Tubes,2,2014-01-28,134,Low Performer,1488,7440,1488,1411,5,5,572.30999999999995
292,Classic Vest- L,Clothing,Vests,24,2014-01-28,134,Mid Performer,195,12480,195,195,64,64,1040
293,Classic Vest- M,Clothing,Vests,24,2014-01-27,134,Mid Performer,199,12736,199,199,64,64,1061.3299999999999
294,Classic Vest- S,Clothing,Vests,24,2014-01-28,134,Mid Performer,168,10944,171,168,64,65.140000000000001,841.85000000000002
295,Water Bottle - 30 oz.,Accessories,Bottles and Cages,2,2014-01-28,134,Mid Performer,4244,21245,4249,4073,5,5.0099999999999998,1634.23
